عدد الساعات لمسجل عليها,المعدل التراكمي التقريبي من 100,نسبة الحضور في جميع المقررات من 100,عدد المرات التي تأخرت بها عن تسديد القسط,عدد المرات التي لم تتأخر بها عن تسديد القسط,عدد الاخوة والاخوات الطلاب في التعليم الجامعي الخاص,قيمة القسط الفصلي بشكل تقديري,عدد الاشخاص العاملين بالاسرة,بعد سكن الطالب عن مركز الجامعة بالكيلو متر,target_class,target_delay_days,السنة_الدراسية_ord,الدخل_الشهري_ord,هل_تعمل_bin,هل_سبق_تأخر_bin,أقساط_سابقة_غير_مسددة_bin,الفرع_علوم طبية وصحية,الفرع_هندسة مدنية,الفرع_هندسة معلوماتية,من المسؤول عن دفع القسط_الطالب,من المسؤول عن دفع القسط_جهة داعمة,من المسؤول عن دفع القسط_منحة,المحافظة_اللاذقية,المحافظة_حلب,المحافظة_حماه,المحافظة_حمص,المحافظة_درعا,المحافظة_دمشق,المحافظة_دير الزور,المحافظة_ريف دمشق,السكن_مخيم,السكن_ملك
3.0,76.0,30,4.0,6.0,1.0,200.0,3,180.0,1,15.0,3,3,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
36.0,60.0,85,1.0,1.0,2.0,220.0,2,3.0,1,1.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
6.0,73.0,40,1.0,8.0,3.0,250.0,7,4.0,1,4.0,4,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3.0,84.0,60,1.0,1.0,1.0,80.0,2,5.0,1,2.0,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,85.0,90,0.0,9.0,1.0,150.0,2,20.0,1,0.0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,50.0,20,2.0,1.0,1.0,101.0,2,110.0,0,7.0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
12.0,60.0,100,6.0,1.0,1.0,80.0,1,10.0,0,2.0,2,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
18.0,87.0,100,1.0,1.0,4.0,650.0,1,82.0,1,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.0,72.0,80,1.0,15.0,1.0,450.0,3,167.0,1,2.0,4,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
9.0,70.0,60,4.0,6.0,1.0,150.0,3,5.0,1,7.0,2,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
32.0,80.0,100,2.0,1.0,3.0,500.0,3,5.0,0,3.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,70.0,50,3.0,6.0,1.0,300.0,2,100.0,1,20.0,2,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
3.0,78.0,60,1.0,10.0,1.0,200.0,2,80.0,1,3.0,4,2,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
12.0,74.0,75,3.0,4.0,1.0,168.0,3,200.0,0,7.0,2,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
18.0,65.0,70,1.0,2.0,2.0,100.0,4,100.0,0,2.0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
8.0,86.97,90,1.0,1.0,1.0,500.0,1,25.0,1,1.0,1,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
9.0,70.0,70,4.0,2.0,1.0,130.0,1,35.0,1,7.0,3,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
15.0,79.0,85,4.0,6.0,2.0,190.0,2,20.0,0,10.0,3,2,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
9.0,80.0,50,3.0,6.0,2.0,168.0,3,6.0,1,10.0,3,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
9.0,84.0,90,3.0,4.0,1.0,140.0,2,7.0,1,7.0,3,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
9.0,70.0,50,4.0,8.0,1.0,99.0,1,125.0,1,10.0,3,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
3.0,80.0,100,1.0,12.0,1.0,300.0,1,4.5,1,1.0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,70.0,85,6.0,5.0,2.0,125.0,2,60.0,1,2.0,3,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
9.0,88.6,90,1.0,9.0,1.0,115.0,3,140.0,1,1.0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9.0,75.0,70,1.0,8.0,1.0,190.0,1,5.0,0,15.0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,86.0,60,2.0,5.0,2.0,200.0,2,250.0,1,30.0,3,2,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
9.0,70.0,75,1.0,1.0,1.0,125.0,3,110.0,1,1.0,3,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
9.0,82.0,80,2.0,7.0,1.0,120.0,2,5.0,1,7.0,4,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
9.0,72.0,10,1.0,2.0,1.0,125.0,3,63.0,1,7.0,4,3,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
9.0,88.0,70,1.0,4.0,3.0,150.0,5,5.0,1,2.0,3,4,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
9.0,75.0,85,1.0,5.0,1.0,200.0,3,20.0,1,1.0,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
3.0,85.0,95,1.0,2.0,1.0,300.0,3,4.0,1,2.0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12.0,74.0,50,1.0,14.0,2.0,200.0,2,20.0,1,5.0,3,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1
